timestamp,traffic_phase,run,event_type,dpid,src,dst,eth_src,eth_dst,ip_proto,dst_port,predicted_label,true_label,inference_ms,control_latency_ms,mitigated,pkt_rate,flow_count_per_dpid,distinct_ports,distinct_targets,distinct_sources,ryu_cpu_percent
2026-09-24T14:57:24.018,normal,1,classify,0000000000000001,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.3405,,0,418.6,3,1,1,1,5.0
2026-09-24T14:57:24.018,normal,1,classify,0000000000000001,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.3405,,0,839.23,3,1,1,1,5.0
2026-09-24T14:57:24.024,normal,1,classify,0000000000000003,10.0.0.8,10.0.0.14,00:00:00:00:00:08,00:00:00:00:00:0e,17,49727,normal,normal,6.0027,,0,0.0,1,1,1,1,5.0
2026-09-24T14:57:24.031,normal,1,classify,0000000000000002,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.9529,,0,409.82,2,1,1,1,5.0
2026-09-24T14:57:24.031,normal,1,classify,0000000000000002,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.9529,,0,820.63,2,1,1,1,5.0
2026-09-24T14:57:24.037,normal,1,classify,0000000000000005,10.0.0.8,10.0.0.14,00:00:00:00:00:08,00:00:00:00:00:0e,17,49727,normal,normal,1.9941,,0,0.0,3,1,1,1,5.0
2026-09-24T14:57:24.037,normal,1,classify,0000000000000005,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,1.9941,,0,808.94,3,1,1,1,5.0
2026-09-24T14:57:24.037,normal,1,classify,0000000000000005,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,1.9941,,0,403.98,3,1,1,1,5.0
2026-09-24T14:57:25.018,normal,1,classify,0000000000000002,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,3.3023,,0,32.43,2,1,1,1,4.0
2026-09-24T14:57:25.018,normal,1,classify,0000000000000002,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,3.3023,,0,61.83,2,1,1,1,4.0
2026-09-24T14:57:25.025,normal,1,classify,0000000000000005,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.8742,,0,59.73,2,1,1,1,4.0
2026-09-24T14:57:25.025,normal,1,classify,0000000000000005,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.8742,,0,32.4,2,1,1,1,4.0
2026-09-24T14:57:25.031,normal,1,classify,0000000000000001,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.9383,,0,31.52,2,1,1,1,4.0
2026-09-24T14:57:25.031,normal,1,classify,0000000000000001,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.9383,,0,58.11,2,1,1,1,4.0
2026-09-24T14:57:26.021,normal,1,classify,0000000000000001,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.3895,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.021,normal,1,classify,0000000000000001,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.3895,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.021,normal,1,classify,0000000000000001,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.3895,,0,21.9,3,1,1,1,2.0
2026-09-24T14:57:26.027,normal,1,classify,0000000000000002,10.0.0.2,10.0.0.14,00:00:00:00:00:02,00:00:00:00:00:0e,6,56768,normal,normal,2.0086,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.027,normal,1,classify,0000000000000002,10.0.0.14,10.0.0.2,00:00:00:00:00:0e,00:00:00:00:00:02,6,5002,normal,normal,2.0086,,0,0.0,3,1,1,1,2.0
2026-09-24T14:57:26.027,normal,1,classify,0000000000000002,10.0.0.15,10.0.0.4,00:00:00:00:00:0f,00:00:00:00:00:04,17,5001,normal,normal,2.0086,,0,21.9,3,1,1,1,2.0
