model,accuracy,precision,recall,f1,f1_std_entre_folds
Logistic Regression,0.47316347079940463,0.4852745291587701,0.5818979938901427,0.4778140885766854,0.11193000841888785
Decision Tree,0.6211365029331932,0.5793976907751187,0.5603474190284231,0.5689363469120323,0.11541761966783874
Random Forest,0.7516417126346204,0.7430614492507922,0.6584748671354939,0.6882541503524573,0.11057360605295952
